Penyakit,Diet
Infeksi jamur,"Diet Antijamur,Probiotik,Bawang Putih,Minyak Kelapa,Kunyit"
Alergi,"Diet Eliminasi,Makanankaya Omega-3,Makanankaya Vitamin C,Makanankaya Quercetin,Probiotik"
Penyakit GERD,"Diet Rendah Asam,Makanan Kaya Serat,Jahe,Akar Manis,Jus Lidah Buaya"
Kolestasis kronis,"Diet Rendah Lemak,Diet Tinggi Serat,Protein Rendah Lemak,Biji-bijian Utuh,Buahdan Sayur Segar"
Reaksi Obat,"Diet Antihistamin,Makanankaya Omega-3,Makanankaya Vitamin C,Makanankaya Quercetin,Probiotik"
Penyakit tukak lambung,"Diet Rendah Asam,Makanan Kaya Serat,Jahe,Akar Manis,Jus Lidah Buaya"
AIDS,"Diet Seimbang,Makanan Kaya Protein,Buahdan Sayur,Biji-bijian Utuh,Lemak Sehat"
Diabetes,"Diet Glikemik Rendah,Makanankayaserat,Proteinrendahlemak,Lemaksehat,Produksusurendahlemak"
Radang perut,"Diet Hambar,Pisang,Nasi,Saus Apel,Roti Panggang"
Asma Bronkial,"Diet Anti-Peradangan,Makanankaya Omega-3,Buah-buahandansayuran,Biji-bijianutuh,Proteinrendahlemak"
Hipertensi,"Diet DASH,Makananrendahsodium,Buahdansayur,Biji-bijianutuh,Proteinrendahlemak"
Migrain,"Diet Migrain,Diet Rendah Tyramine,Penarikan Kafein,Hidrasi,Makanan Kaya Magnesium"
Spondilosis serviks,"Dietuntukradangsendi,Dietantiperadangan,Makanankayaomega-3,Buahdansayur,Biji-bijianutuh"
Kelumpuhan (pendarahan otak),"Diet Sehat Jantung,Makananrendahsodium,Buahdansayur,Biji-bijianutuh,Proteinrendahlemak"
Penyakit kuning,"Diet Sehat Hati,Diet Rendah Lemak,Buahdan Sayur,Biji-bijian Utuh,Protein Rendah Lemak"
Malaria,"Diet Malaria,Hidrasi,Diet Berkalori Tinggi,Makananlunakdanhambar,Solusirehidrasioral"
Cacar air,"Diet Cacar Air,Diet Tinggi Kalori,Makananlunakdanhambar,Hidrasi,Makanankayaprotein"
Demam Berdarah,"Diet Anti Demam Berdarah,Hidrasi,Diet Berkalori Tinggi,Makanan Lunakdan Hambar,Makanan Kaya Protein"
Penyakit tipus,"Diet Tifoid,Diet Tinggi Kalori,Makananlunakdanhambar,Hidrasi,Makanankayaprotein"
penyakit hepatitis A,"Diet Hepatitis A,Diet Tinggi Kalori,Makananlunakdanhambar,Hidrasi,Makanankayaprotein"
Penyakit Hepatitis B,"Diet Hepatitis B,Diet Tinggi Kalori,Makananlunakdanhambar,Hidrasi,Makanankayaprotein"
Penyakit Hepatitis C,"Diet Hepatitis C,Diet Tinggi Kalori,Makananlunakdanhambar,Hidrasi,Makanankayaprotein"
Penyakit Hepatitis D.,"Diet Hepatitis D,Diet Tinggi Kalori,Makananlunakdanhambar,Hidrasi,Makanankayaprotein"
Hepatitis E,"Diet Hepatitis E,Diet Tinggi Kalori,Makananlunakdanhambar,Hidrasi,Makanankayaprotein"
Hepatitis alkoholik,"Diet Sehat Hati,Diet Rendah Lemak,Buahdan Sayur,Biji-bijian Utuh,Protein Rendah Lemak"
Tuberkulosis,"Diet TB,Diet Tinggi Kalori,Makananlunakdanhambar,Hidrasi,Makanankayaprotein"
Flu biasa,"Diet Dingin,Hidrasi,Cairan Hangat,Istirahat,Teh Madudan Lemon"
Radang paru-paru,"Diet Pneumonia,Diet Tinggi Kalori,Makananlunakdanhambar,Hidrasi,Makanankayaprotein"
Wasir dimorfik (ambeien),"Diet Wasir,Diet Tinggi Serat,Hidrasi,Mandi Air Hangat,Pelunak Tinja"
Serangan jantung,"Diet Sehat Jantung,Makananrendahsodium,Buahdansayur,Biji-bijianutuh,Proteinrendahlemak"
Pembuluh mekar,"Dietuntuk Varises,Diet Tinggi Serat,Buahdan Sayuran,Biji-bijian Utuh,Makanan Rendah Sodium"
Hipotiroidisme,"Diet Hipotiroidisme,Makanankayayodium,Makanankayaselenium,Buahdansayuran,Biji-bijianutuh"
Hipertiroidisme,"Diet Hipertiroidisme,Diet Rendah Yodium,Makanankayakalsium,Makanankayaselenium,Buahdansayuran"
Hipoglikemia,"Diet Hipoglikemia,Karbohidratkompleks,Camilankayaprotein,Makanankayaserat,Lemaksehat"
Osteoartritis,"Dietuntukradangsendi,Dietantiperadangan,Makanankayaomega-3,Buahdansayur,Biji-bijianutuh"
Radang sendi,"Dietuntukradangsendi,Dietantiperadangan,Makanankayaomega-3,Buahdansayur,Biji-bijianutuh"
(vertigo) Vertigo Posisi Paroymsal,"Diet Vertigo,Diet Rendah Garam,Hidrasi,Teh Jahe,Makanan Kaya Vitamin D"
Jerawat,"Diet Jerawat,Diet Glikemik Rendah,Hidrasi,Buahdansayuran,Probiotik"
Infeksi saluran kemih,"Diet ISK,Hidrasi,Juscranberry,Probiotik,Makanankayavitamin C"
Psoriasis,"Dietuntuk Psoriasis,Diet Anti-Peradangan,Makananyangkayaakan Omega-3,Buahdansayur,Biji-bijianutuh"
Impetigo,"Diet Impetigo,Pengobatanantibiotik,Buahdansayuran,Hidrasi,Makanankayaprotein"
