,Penyakit,Pengobatan
0,Infeksi jamur,"KrimAntijamur,Flukonazol,Terbinafine,Klotrimazol,Ketokonazol"
1,Alergi,"Antihistamin,Dekongestan,Epinefrin,Kortikosteroid,Imunoterapi"
2,GERD,"InhibitorPompaProton(PPI),PemblokirH2,Antasida,Prokinetika,Antibiotik"
3,Kolestasis kronis,"Asamursodeoksikolat,Kolestyramine,Methotrexate,Kortikosteroid,Transplantasihati"
4,Reaksi Obat,"Antihistamin,Epinefrin,Kortikosteroid,Antibiotik,KrimAntijamur"
5,Penyakit tukak lambung,"Antibiotik,InhibitorPompaProton(PPI),PemblokirH2,Antasida,Agensitoprotektif"
6,AIDS,"Obatantiretroviral,Inhibitorprotease,Inhibitorintegrasise,Inhibitormasuk,Inhibitorfusi"
7,Diabetes,"Insulin,Metformin,Sulfonylureas,DPP-4inhibitor,GLP-1receptoragonist"
8,Gastroenteritis,"Antibiotik,Obatantiemetik,Obatantidiare,cairanIV,Probiotik"
9,Asma Bronkial,"Bronkodilator,Kortikosteroidinhalasi,PengubahLeukotrien,Penstabilselmast,Antikolinergik"
10,Hipertensi,"Obatantihipertensi,Diuretik,Beta-blocker,ACEinhibitor,Calciumchannelblocker"
11,Migrain,"Analgesik,Triptan,DerivatifErgotamine,Pengobatanpencegahan,Biofeedback"
12,Spondylosis serviks,"Peredanyeri,Relaksanotot,Terapifisik,Penyanggaleher,Kortikosteroid"
13,Kelumpuhan (pendarahan otak),"Pengencerdarah,Obatpembubaranbekuandarah,Antikonvulsan,Terapifisik,Terapiokupasi"
14,Penyakit kuning,"CairanIV,Transfusidarah,Transplantasihati,Obatgatal,Obatantivirus"
15,Malaria,"Obatantimalaria,Antipiretik,Obatantiemetik,cairanIV,Transfusidarah"
16,Cacar air,"Obatantivirus,Peredanyeri,cairanIV,Transfusidarah,Transfusitrombosit"
17,demam berdarah,"Antibiotik,Antipiretik,Analgesik,cairanIV,Kortikosteroid"
18,Penyakit tipus,"Vaksinasi,Obatantivirus,cairanIV,Transfusidarah,Transplantasihati"
19,hepatitis A,"Vaksinasi,Obatantivirus,cairanIV,Transfusidarah,Transplantasihati"
20,Hepatitis B,"Obatantivirus,cairanIV,Transfusidarah,Transfusitrombosit,Transplantasihati"
21,Hepatitis C,"Obatantivirus,cairanIV,Transfusidarah,Transfusitrombosit,Transplantasihati"
22,Hepatitis D,"Obatantivirus,cairanIV,Transfusidarah,Transfusitrombosit,Transplantasihati"
23,Hepatitis E,"Penghentianalkohol,Kortikosteroid,cairanIV,Transplantasihati,Dukungannutrisi"
24,Hepatitis alkoholik,"Antibiotik,Isoniazid,Rifampin,Etambutol,Pirazinamida"
25,TBC,"Antipiretik,Dekongestan,Peredabatuk,Antihistamin,Peredanyeri"
26,Flu biasa,"Antibiotik,Obatantivirus,Obatantijamur,cairanIV,Terapioksigen"
27,Radang paru-paru,"Pencahar,Peredanyeri,Mandiairhangat,Kompresdingin,Diettinggiserat"
28,Wasir dimorfik (tumpukan),"Nitrogliserin,Aspirin,Beta-blocker,Calciumchannelblocker,Obattrombolitik"
29,Serangan jantung,"Stokingkompresi,Olahraga,Meninggikankaki,Skleroterapi,Perawatanlaser"
30,Pembuluh mekar,"Levothyroxine,Obatantitiroid,Beta-blocker,Radioaktifyodium,Operasitiroid"
31,Hipotiroidisme,"Obatantitiroid,Yodiumradioaktif,Operasitiroid,Beta-blocker,Kortikosteroid"
32,Hipertiroidisme,"Tabletglukosa,Permenataujus,InjeksiGlukagon,DekstrosaIV,Diazoksida"
33,Hipoglikemia,"Peredanyeri,Olahraga,Paketpanasdandingin,Perlindungansendi,Terapifisik"
34,Osteoartritis,"NSAID,Obatantirematikpemodifikasipenyakit(DMARDs),Biologis,Kortikosteroid,Operasipenggantiansendi"
35,Radang sendi,"Rehabilitasivestibular,Reposisikanalit,Pengobatanmual,Pembedahan,Latihandirumah"
36,(vertigo) Vertigo Posisi Paroksismal,"Perawatantopikal,Antibiotik,Obatoral,Perawatanhormonal,Isotretinoin"
37,Jerawat,"Antibiotik,Peredanyeri,Antihistamin,Kortikosteroid,Perawatantopikal"
38,Infeksi saluran kemih,"Antibiotik,Analgesikurin,Phenazopyridine,Antispasmodik,Probiotik"
39,Psoriasis,"Perawatantopikal,Fototerapi,Pengobatansistemik,Biologi,Terbatubara"
40,Impetigo,"Antibiotiktopikal,Antibiotikoral,Antiseptik,Salep,Kompreshangat"
