,Penyakit,Gejala_1,Gejala_2,Gejala_3,Gejala_4
0,Infeksi jamur,Gatal,Ruam kulit,Benjolan kulit,bercak diskromik
1,Infeksi jamur,Ruam kulit,Benjolan kulit,bercak diskromik,kemerahan
2,Infeksi jamur,Gatal,Benjolan kulit,bercak diskromik,kemerahan
3,Infeksi jamur,Gatal,Ruam kulit,bercak diskromik,perih
4,Infeksi jamur,Gatal,Ruam kulit,Benjolan kulit,nyeri
5,Infeksi jamur,Ruam kulit,Benjolan kulit,bercak diskromik,kemerahan
6,Infeksi jamur,Gatal,Benjolan kulit,bercak diskromik,perih
7,Infeksi jamur,Gatal,Ruam kulit,bercak diskromik,kemerahan
8,Infeksi jamur,Gatal,Ruam kulit,Benjolan kulit,nyeri
9,Infeksi jamur,Gatal,Ruam kulit,Benjolan kulit,bercak diskromik
10,Alergi,Bersin terus-menerus,Gemetar,Demam menggigil,Mata berair
11,Alergi,Gemetar,Demam menggigil,Mata berair,hidung tersumbat
12,Alergi,Bersin terus-menerus,Demam menggigil,Mata berair,hidung tersumbat
13,Alergi,Bersin terus-menerus,Gemetar,Mata berair,kulit gatal
14,Alergi,Bersin terus-menerus,Gemetar,Demam menggigil,batuk ringan
15,Alergi,Gemetar,Demam menggigil,Mata berair,hidung tersumbat
16,Alergi,Bersin terus-menerus,Demam menggigil,Mata berair,batuk ringan
17,Alergi,Bersin terus-menerus,Gemetar,Mata berair,kulit gatal
18,Alergi,Bersin terus-menerus,Gemetar,Demam menggigil,hidung tersumbat
19,Alergi,Bersin terus-menerus,Gemetar,Demam menggigil,Mata berair
20,Penyakit GERD,Sakit perut,Asam lambung naik,Luka di lidah,Muntah
21,Penyakit GERD,Sakit perut,Luka di lidah,Muntah,Batuk
22,Penyakit GERD,Sakit perut,Asam lambung naik,Muntah,Batuk
23,Penyakit GERD,Sakit perut,Asam lambung naik,Luka di lidah,Batuk
24,Penyakit GERD,Sakit perut,Asam lambung naik,Luka di lidah,Muntah
25,Penyakit GERD,Sakit perut,Asam lambung naik,Luka di lidah,Muntah
26,Penyakit GERD,Asam lambung naik,Luka di lidah,Muntah,Batuk
27,Penyakit GERD,Sakit perut,Luka di lidah,Muntah,Batuk
28,Penyakit GERD,Sakit perut,Asam lambung naik,Muntah,Batuk
29,Penyakit GERD,Sakit perut,Asam lambung naik,Luka di lidah,Batuk
30,Kolestasis kronis,Gatal,Muntah,Kulit kekuningan,Mual
31,Kolestasis kronis,Muntah,Kulit kekuningan,Mual,Hilang nafsu makan
32,Kolestasis kronis,Gatal,Kulit kekuningan,Mual,Hilang nafsu makan
33,Kolestasis kronis,Gatal,Muntah,Mual,Hilang nafsu makan
34,Kolestasis kronis,Gatal,Muntah,Kulit kekuningan,Hilang nafsu makan
35,Kolestasis kronis,Gatal,Muntah,Kulit kekuningan,Mual
36,Kolestasis kronis,Gatal,Muntah,Kulit kekuningan,Mual
37,Kolestasis kronis,Gatal,Muntah,Kulit kekuningan,Mual
38,Kolestasis kronis,Gatal,Muntah,Kulit kekuningan,Mual
39,Kolestasis kronis,Gatal,Muntah,Kulit kekuningan,Mual
40,Reaksi Obat,Gatal,Ruam kulit,Sakit perut,Rasa panas saat buang air kecil
41,Reaksi Obat,Gatal,Sakit perut,Rasa panas saat buang air kecil,Bercak saat buang air kecil
42,Reaksi Obat,Gatal,Ruam kulit,Rasa panas saat buang air kecil,Bercak saat buang air kecil
43,Reaksi Obat,Gatal,Ruam kulit,Sakit perut,Bercak saat buang air kecil
44,Reaksi Obat,Gatal,Ruam kulit,Sakit perut,Rasa panas saat buang air kecil
45,Reaksi Obat,Ruam kulit,Sakit perut,Rasa panas saat buang air kecil,Bercak saat buang air kecil
46,Reaksi Obat,Gatal,Sakit perut,Rasa panas saat buang air kecil,Bercak saat buang air kecil
47,Reaksi Obat,Gatal,Ruam kulit,Rasa panas saat buang air kecil,Bercak saat buang air kecil
48,Reaksi Obat,Gatal,Ruam kulit,Sakit perut,Bercak saat buang air kecil
49,Reaksi Obat,Gatal,Ruam kulit,Sakit perut,Rasa panas saat buang air kecil
50,Penyakit tukak lambung,Muntah,Hilang nafsu makan,Sakit perut bagian bawah,Kentut terus-menerus
51,Penyakit tukak lambung,Muntah,Perut terasa tidak nyaman,Sakit perut bagian bawah,Kentut terus-menerus
52,Penyakit tukak lambung,Perut terasa tidak nyaman,Hilang nafsu makan,Sakit perut bagian bawah,Kentut terus-menerus
53,Penyakit tukak lambung,Muntah,Hilang nafsu makan,Sakit perut bagian bawah,Kentut terus-menerus
54,Penyakit tukak lambung,Muntah,Perut terasa tidak nyaman,Sakit perut bagian bawah,Kentut terus-menerus
55,Penyakit tukak lambung,Muntah,Perut terasa tidak nyaman,Hilang nafsu makan,Kentut terus-menerus
56,Penyakit tukak lambung,Muntah,Perut terasa tidak nyaman,Hilang nafsu makan,Sakit perut bagian bawah
57,Penyakit tukak lambung,Muntah,Perut terasa tidak nyaman,Hilang nafsu makan,Sakit perut bagian bawah
58,Penyakit tukak lambung,Muntah,Perut terasa tidak nyaman,Hilang nafsu makan,Sakit perut bagian bawah
59,Penyakit tukak lambung,Muntah,Perut terasa tidak nyaman,Hilang nafsu makan,Sakit perut bagian bawah
60,AIDS,Penyusutan otot,Bercak di tenggorokan,Demam tinggi,Hubungan di luar pernikahan
61,AIDS,Bercak di tenggorokan,Demam tinggi,Hubungan di luar pernikahan,Lelah
62,AIDS,Penyusutan otot,Demam tinggi,Hubungan di luar pernikahan,Lelah
63,AIDS,Penyusutan otot,Bercak di tenggorokan,Hubungan di luar pernikahan,Lelah
64,AIDS,Penyusutan otot,Bercak di tenggorokan,Demam tinggi,pembengkakan
65,AIDS,Penyusutan otot,Bercak di tenggorokan,Demam tinggi,Hubungan di luar pernikahan
66,AIDS,Penyusutan otot,Bercak di tenggorokan,Demam tinggi,Hubungan di luar pernikahan
67,AIDS,Bercak di tenggorokan,Demam tinggi,Hubungan di luar pernikahan,Lelah
68,AIDS,Penyusutan otot,Demam tinggi,Hubungan di luar pernikahan,pembengkakan
69,AIDS,Penyusutan otot,Bercak di tenggorokan,Demam tinggi,Lelah
70,Diabetes,Lelah,Penurunan berat badan,Gelisah,Lesu
71,Diabetes,Lelah,Penurunan berat badan,Gelisah,Lesu
72,Diabetes,Penurunan berat badan,Gelisah,Lesu,Kadar gula darah tidak stabil
73,Diabetes,Lelah,Gelisah,Lesu,Kadar gula darah tidak stabil
74,Diabetes,Lelah,Penurunan berat badan,Lesu,Kadar gula darah tidak stabil
75,Diabetes,Lelah,Penurunan berat badan,Gelisah,Kadar gula darah tidak stabil
76,Diabetes,Lelah,Penurunan berat badan,Gelisah,Lesu
77,Diabetes,Lelah,Penurunan berat badan,Gelisah,Lesu
78,Diabetes,Lelah,Penurunan berat badan,Gelisah,Lesu
79,Diabetes,Lelah,Penurunan berat badan,Gelisah,Lesu
80,Radang perut,Muntah,Mata cekung,Kekurangan cairan (dehidrasi),Diare
81,Radang perut,Muntah,Mata cekung,Kekurangan cairan (dehidrasi),Diare
82,Radang perut,Mata cekung,Kekurangan cairan (dehidrasi),Diare,lemas
83,Radang perut,Muntah,Kekurangan cairan (dehidrasi),Diare,lemas
84,Radang perut,Muntah,Mata cekung,Diare,perut kembung
85,Radang perut,Muntah,Mata cekung,Kekurangan cairan (dehidrasi),lemas
86,Radang perut,Muntah,Mata cekung,Kekurangan cairan (dehidrasi),Diare
87,Radang perut,Mata cekung,Kekurangan cairan (dehidrasi),Diare,perut kembung
88,Radang perut,Muntah,Kekurangan cairan (dehidrasi),Diare,perut kembung
89,Radang perut,Muntah,Mata cekung,Diare,lemas
90,Asma Bronkial,Lelah,Batuk,Demam tinggi,Sesak napas
91,Asma Bronkial,Batuk,Demam tinggi,Sesak napas,Riwayat keluarga
92,Asma Bronkial,Lelah,Demam tinggi,Sesak napas,Riwayat keluarga
93,Asma Bronkial,Lelah,Batuk,Sesak napas,Riwayat keluarga
94,Asma Bronkial,Lelah,Batuk,Demam tinggi,Riwayat keluarga
95,Asma Bronkial,Lelah,Batuk,Demam tinggi,Sesak napas
96,Asma Bronkial,Lelah,Batuk,Demam tinggi,Sesak napas
97,Asma Bronkial,Lelah,Batuk,Demam tinggi,Sesak napas
98,Asma Bronkial,Batuk,Demam tinggi,Sesak napas,Riwayat keluarga
99,Asma Bronkial,Lelah,Demam tinggi,Sesak napas,Riwayat keluarga
100,Hipertensi,Sakit kepala,Nyeri dada,Pusing,Kehilangan keseimbangan
101,Hipertensi,Nyeri dada,Pusing,Kehilangan keseimbangan,Sulit berkonsentrasi
102,Hipertensi,Sakit kepala,Pusing,Kehilangan keseimbangan,Sulit berkonsentrasi
103,Hipertensi,Sakit kepala,Nyeri dada,Kehilangan keseimbangan,Sulit berkonsentrasi
104,Hipertensi,Sakit kepala,Nyeri dada,Pusing,Sulit berkonsentrasi
105,Hipertensi,Sakit kepala,Nyeri dada,Pusing,Kehilangan keseimbangan
106,Hipertensi,Sakit kepala,Nyeri dada,Pusing,Kehilangan keseimbangan
107,Hipertensi,Nyeri dada,Pusing,Kehilangan keseimbangan,Sulit berkonsentrasi
108,Hipertensi,Sakit kepala,Pusing,Kehilangan keseimbangan,Sulit berkonsentrasi
109,Hipertensi,Sakit kepala,Nyeri dada,Kehilangan keseimbangan,Sulit berkonsentrasi
110,Migrain,Asam lambung naik,Perut terasa tidak nyaman,Sakit kepala,Pandangan kabur
111,Migrain,Perut terasa tidak nyaman,Sakit kepala,Pandangan kabur,Nafsu makan berlebihan
112,Migrain,Asam lambung naik,Sakit kepala,Pandangan kabur,Nafsu makan berlebihan
113,Migrain,Asam lambung naik,Perut terasa tidak nyaman,Pandangan kabur,Nafsu makan berlebihan
114,Migrain,Asam lambung naik,Perut terasa tidak nyaman,Sakit kepala,Nafsu makan berlebihan
115,Migrain,Asam lambung naik,Perut terasa tidak nyaman,Sakit kepala,Pandangan kabur
116,Migrain,Asam lambung naik,Perut terasa tidak nyaman,Sakit kepala,Pandangan kabur
117,Migrain,Asam lambung naik,Perut terasa tidak nyaman,Sakit kepala,Pandangan kabur
118,Migrain,Asam lambung naik,Perut terasa tidak nyaman,Sakit kepala,Pandangan kabur
119,Migrain,Asam lambung naik,Perut terasa tidak nyaman,Sakit kepala,Pandangan kabur
120,Spondilosis serviks,Nyeri punggung,Kelemahan pada tangan atau kaki,Sakit leher,Pusing
121,Spondilosis serviks,Nyeri punggung,Kelemahan pada tangan atau kaki,Sakit leher,Pusing
122,Spondilosis serviks,Kelemahan pada tangan atau kaki,Sakit leher,Pusing,Kehilangan keseimbangan
123,Spondilosis serviks,Nyeri punggung,Sakit leher,Pusing,Kehilangan keseimbangan
124,Spondilosis serviks,Nyeri punggung,Kelemahan pada tangan atau kaki,Pusing,Kehilangan keseimbangan
125,Spondilosis serviks,Nyeri punggung,Kelemahan pada tangan atau kaki,Sakit leher,Kehilangan keseimbangan
126,Spondilosis serviks,Nyeri punggung,Kelemahan pada tangan atau kaki,Sakit leher,Pusing
127,Spondilosis serviks,Nyeri punggung,Kelemahan pada tangan atau kaki,Sakit leher,Pusing
128,Spondilosis serviks,Kelemahan pada tangan atau kaki,Sakit leher,Pusing,Kehilangan keseimbangan
129,Spondilosis serviks,Nyeri punggung,Sakit leher,Pusing,Kehilangan keseimbangan
130,Kelumpuhan (pendarahan otak),Muntah,Sakit kepala,Lemah di satu sisi tubuh,Kesadaran terganggu
131,Kelumpuhan (pendarahan otak),Muntah,Sakit kepala,Lemah di satu sisi tubuh,Kesadaran terganggu
132,Kelumpuhan (pendarahan otak),Sakit kepala,Lemah di satu sisi tubuh,Kesadaran terganggu,gangguan penglihatan
133,Kelumpuhan (pendarahan otak),Muntah,Lemah di satu sisi tubuh,Kesadaran terganggu,Kehilangan keseimbangan
134,Kelumpuhan (pendarahan otak),Muntah,Sakit kepala,Kesadaran terganggu,kesemutan
135,Kelumpuhan (pendarahan otak),Muntah,Sakit kepala,Lemah di satu sisi tubuh,Kehilangan keseimbangan
136,Kelumpuhan (pendarahan otak),Muntah,Sakit kepala,Lemah di satu sisi tubuh,Kesadaran terganggu
137,Kelumpuhan (pendarahan otak),Sakit kepala,Lemah di satu sisi tubuh,Kesadaran terganggu,gangguan penglihatan
138,Kelumpuhan (pendarahan otak),Muntah,Lemah di satu sisi tubuh,Kesadaran terganggu,kesemutan
139,Kelumpuhan (pendarahan otak),Muntah,Sakit kepala,Kesadaran terganggu,Kehilangan keseimbangan
140,Penyakit kuning,Gatal,Muntah,Lelah,Penurunan berat badan
141,Penyakit kuning,Gatal,Muntah,Lelah,Penurunan berat badan
142,Penyakit kuning,Muntah,Lelah,Penurunan berat badan,Demam tinggi
143,Penyakit kuning,Gatal,Lelah,Penurunan berat badan,Demam tinggi
144,Penyakit kuning,Gatal,Muntah,Penurunan berat badan,Demam tinggi
145,Penyakit kuning,Gatal,Muntah,Lelah,Demam tinggi
146,Penyakit kuning,Gatal,Muntah,Lelah,Penurunan berat badan
147,Penyakit kuning,Gatal,Muntah,Lelah,Penurunan berat badan
148,Penyakit kuning,Gatal,Muntah,Lelah,Penurunan berat badan
149,Penyakit kuning,Gatal,Muntah,Lelah,Penurunan berat badan
150,Malaria,Demam menggigil,Muntah,Demam tinggi,Berkeringat
151,Malaria,Demam menggigil,Muntah,Demam tinggi,Berkeringat
152,Malaria,Demam menggigil,Muntah,Demam tinggi,Berkeringat
153,Malaria,Muntah,Demam tinggi,Berkeringat,Sakit kepala
154,Malaria,Demam menggigil,Demam tinggi,Berkeringat,Sakit kepala
155,Malaria,Demam menggigil,Muntah,Berkeringat,Sakit kepala
156,Malaria,Demam menggigil,Muntah,Demam tinggi,Sakit kepala
157,Malaria,Demam menggigil,Muntah,Demam tinggi,Berkeringat
158,Malaria,Demam menggigil,Muntah,Demam tinggi,Berkeringat
159,Malaria,Demam menggigil,Muntah,Demam tinggi,Berkeringat
160,Cacar air,Gatal,Ruam kulit,Lelah,Lesu
161,Cacar air,Ruam kulit,Lelah,Lesu,Demam tinggi
162,Cacar air,Gatal,Lelah,Lesu,Demam tinggi
163,Cacar air,Gatal,Ruam kulit,Lesu,Demam tinggi
164,Cacar air,Gatal,Ruam kulit,Lelah,Demam tinggi
165,Cacar air,Gatal,Ruam kulit,Lelah,Lesu
166,Cacar air,Gatal,Ruam kulit,Lelah,Lesu
167,Cacar air,Gatal,Ruam kulit,Lelah,Lesu
168,Cacar air,Gatal,Ruam kulit,Lelah,Lesu
169,Cacar air,Gatal,Ruam kulit,Lelah,Lesu
170,Demam Berdarah,Ruam kulit,Demam menggigil,Nyeri sendi,Muntah
171,Demam Berdarah,Ruam kulit,Demam menggigil,Nyeri sendi,Muntah
172,Demam Berdarah,Ruam kulit,Demam menggigil,Nyeri sendi,Muntah
173,Demam Berdarah,Ruam kulit,Demam menggigil,Nyeri sendi,Muntah
174,Demam Berdarah,Demam menggigil,Nyeri sendi,Muntah,Lelah
175,Demam Berdarah,Ruam kulit,Nyeri sendi,Muntah,Lelah
176,Demam Berdarah,Ruam kulit,Demam menggigil,Muntah,Lelah
177,Demam Berdarah,Ruam kulit,Demam menggigil,Nyeri sendi,Lelah
178,Demam Berdarah,Ruam kulit,Demam menggigil,Nyeri sendi,Muntah
179,Demam Berdarah,Ruam kulit,Demam menggigil,Nyeri sendi,Muntah
180,Penyakit tipus,Demam menggigil,Muntah,Lelah,Demam tinggi
181,Penyakit tipus,Demam menggigil,Muntah,Lelah,Demam tinggi
182,Penyakit tipus,Demam menggigil,Muntah,Lelah,Demam tinggi
183,Penyakit tipus,Demam menggigil,Muntah,Lelah,Demam tinggi
184,Penyakit tipus,Demam menggigil,Muntah,Lelah,Demam tinggi
185,Penyakit tipus,Demam menggigil,Muntah,Lelah,Demam tinggi
186,Penyakit tipus,Demam menggigil,Muntah,Lelah,Demam tinggi
187,Penyakit tipus,Demam menggigil,Muntah,Lelah,Demam tinggi
188,Penyakit tipus,Demam menggigil,Muntah,Lelah,Demam tinggi
189,Penyakit tipus,Demam menggigil,Lelah,Demam tinggi,Sakit kepala
