,Tanpa Nama: 0,penyakit,olahraga
0,0,Infeksi jamur,Hindari makanan manis
1,1,Infeksi jamur,Mengonsumsi probiotik
2,2,Infeksi jamur,Tingkatkan asupan bawang putih
3,3,Infeksi jamur,Sertakan yogurt dalam diet Anda
4,4,Infeksi jamur,Batasi makanan olahan
5,5,Infeksi jamur,Tetap terhidrasi
6,6,Infeksi jamur,Mengkonsumsi teh hijau
7,7,Infeksi jamur,Makan makanan yang kaya akan zinc
8,8,Infeksi jamur,Sertakan kunyit dalam makanan Anda
9,9,Infeksi jamur,Makan buah dan sayur
10,10,Alergi,Hindari makanan yang bersifat alergen
11,11,Alergi,Mengonsumsi makanan anti inflamasi
12,12,Alergi,Sertakan asam lemak omega-3
13,13,Alergi,Tetap terhidrasi
14,14,Alergi,Makan makanan yang kaya vitamin C
15,15,Alergi,Sertakan makanan yang kaya quercetin
16,16,Alergi,Konsumsi madu lokal
17,17,Alergi,Batasi makanan olahan
18,18,Alergi,Sertakan jahe dalam diet Anda
19,19,Alergi,Hindari bahan tambahan buatan
20,20,Penyakit GERD,Konsumsi makanan dalam porsi kecil
21,21,Penyakit GERD,"Hindari makanan pemicu (pedas, berlemak)"
22,22,Penyakit GERD,Makan makanan berserat tinggi
23,23,Penyakit GERD,Batasi kafein dan alkohol
24,24,Penyakit GERD,Kunyah makanan sampai tuntas
25,25,Penyakit GERD,Hindari makan larut malam
26,26,Penyakit GERD,Konsumsi buah non jeruk
27,27,Penyakit GERD,Sertakan protein rendah lemak
28,28,Penyakit GERD,Tetap terhidrasi
29,29,Penyakit GERD,Hindari minuman berkarbonasi
30,30,Kolestasis kronis,Konsumsi makanan rendah lemak
31,31,Kolestasis kronis,Makan makanan berserat tinggi
32,32,Kolestasis kronis,Sertakan lemak sehat
33,33,Kolestasis kronis,Batasi konsumsi alkohol
34,34,Kolestasis kronis,Tetap terhidrasi
35,35,Kolestasis kronis,Konsumsi makanan yang kaya antioksidan
36,36,Kolestasis kronis,Sertakan asam lemak omega-3
37,37,Kolestasis kronis,Sertakan protein rendah lemak
38,38,Kolestasis kronis,Batasi makanan olahan
39,39,Kolestasis kronis,Hindari makanan yang digoreng
40,40,Reaksi Obat,Hentikan obat yang mengganggu
